name,subname,url,holiday,nearest,genre,price_dinner,price_lunch,star,address,tel,reviews,bookmarks,menu_url,photo_out,photo_in,city
西洋菓子舗 不二家 日本橋三越本店,,https://tabelog.com/tokyo/A1302/A130202/13256571/,-,三越前駅,ケーキ,-,-,3.00,東京都 中央区日本橋室町1-4-1 日本橋三越本店  本館 B1F,03-3241-3311,3,22,https://tabelog.com/tokyo/A1302/A130202/13256571/dtlmenu,https://tabelog.com/tokyo/A1302/A130202/13256571/dtlphotolst/3/smp2,https://tabelog.com/tokyo/A1302/A130202/13256571/dtlphotolst/4/smp2,中央区
銀座ウエスト 銀座本店,（GINZA WEST【旧店名】洋菓子舗 ウエスト）,https://tabelog.com/tokyo/A1301/A130101/13002565/,-,銀座駅,喫茶店 ケーキ フレンチトースト,￥1000～￥1999,￥1000～￥1999,3.56,東京都 中央区銀座7-3-6 ,03-3571-1554,540,24461,https://tabelog.com/tokyo/A1301/A130101/13002565/dtlmenu,https://tabelog.com/tokyo/A1301/A130101/13002565/dtlphotolst/3/smp2,https://tabelog.com/tokyo/A1301/A130101/13002565/dtlphotolst/4/smp2,中央区
西洋菓子 しろたえ,（SIROTAE）,https://tabelog.com/tokyo/A1308/A130801/13002850/,日曜日,赤坂見附駅,ケーキ カフェ 喫茶店,-,￥1000～￥1999,3.79,東京都 港区赤坂4-1-4 ,03-3586-9039,1337,67442,https://tabelog.com/tokyo/A1308/A130801/13002850/dtlmenu,https://tabelog.com/tokyo/A1308/A130801/13002850/dtlphotolst/3/smp2,https://tabelog.com/tokyo/A1308/A130801/13002850/dtlphotolst/4/smp2,港区
シヅカ洋菓子店,（SHIZUKA Patisserie）,https://tabelog.com/tokyo/A1314/A131402/13257906/,火曜日,白金高輪駅,ケーキ 洋菓子（その他）,-,￥1000～￥1999,3.41,東京都 港区三田5-4-10 ,03-6381-7770,45,6948,https://tabelog.com/tokyo/A1314/A131402/13257906/dtlmenu,https://tabelog.com/tokyo/A1314/A131402/13257906/dtlphotolst/3/smp2,https://tabelog.com/tokyo/A1314/A131402/13257906/dtlphotolst/4/smp2,港区
加藤洋菓子店,,https://tabelog.com/tokyo/A1314/A131402/13251480/,火曜日,三田駅,ケーキ 洋菓子（その他）,～￥999,～￥999,3.33,東京都 港区三田4-1-31 ,03-6435-4775,38,8320,https://tabelog.com/tokyo/A1314/A131402/13251480/dtlmenu,https://tabelog.com/tokyo/A1314/A131402/13251480/dtlphotolst/3/smp2,https://tabelog.com/tokyo/A1314/A131402/13251480/dtlphotolst/4/smp2,港区
洋菓子のヒロタ 新橋駅前店,,https://tabelog.com/tokyo/A1301/A130103/13122918/,無休,新橋駅,洋菓子（その他）,-,￥1000～￥1999,3.18,東京都 港区新橋2-6-8 新橋大樹ビル 1F,03-3503-1201,35,393,https://tabelog.com/tokyo/A1301/A130103/13122918/dtlmenu,https://tabelog.com/tokyo/A1301/A130103/13122918/dtlphotolst/3/smp2,https://tabelog.com/tokyo/A1301/A130103/13122918/dtlphotolst/4/smp2,港区
洋菓子舗ウエスト 赤坂Bizタワー店,,https://tabelog.com/tokyo/A1308/A130801/13090257/,-,赤坂駅,ケーキ,-,～￥999,3.05,東京都 港区赤坂5-3-1 赤坂Bizタワー  B1F,03-5545-6441,22,399,https://tabelog.com/tokyo/A1308/A130801/13090257/dtlmenu,https://tabelog.com/tokyo/A1308/A130801/13090257/dtlphotolst/3/smp2,https://tabelog.com/tokyo/A1308/A130801/13090257/dtlphotolst/4/smp2,港区
モナコ洋菓子店,（MONACOヨウガシテン）,https://tabelog.com/tokyo/A1309/A130905/13165302/,日曜日、祝日,牛込神楽坂駅,ケーキ 喫茶店,-,～￥999,3.07,東京都 新宿区納戸町3 1F,03-3260-0324,5,112,https://tabelog.com/tokyo/A1309/A130905/13165302/dtlmenu,https://tabelog.com/tokyo/A1309/A130905/13165302/dtlphotolst/3/smp2,https://tabelog.com/tokyo/A1309/A130905/13165302/dtlphotolst/4/smp2,新宿区
洋菓子舗ウエスト 新宿京王店,,https://tabelog.com/tokyo/A1304/A130401/13142769/,無休,新宿駅,洋菓子（その他）,-,～￥999,3.03,東京都 新宿区西新宿1-1-4 京王百貨店新宿店,03-3342-2111,16,88,https://tabelog.com/tokyo/A1304/A130401/13142769/dtlmenu,https://tabelog.com/tokyo/A1304/A130401/13142769/dtlphotolst/3/smp2,https://tabelog.com/tokyo/A1304/A130401/13142769/dtlphotolst/4/smp2,新宿区
西洋菓子 鹿鳴館 京王百貨店新宿店,（セヨウガシ ロクメイカン）,https://tabelog.com/tokyo/A1304/A130401/13218659/,-,新宿駅,チョコレート 洋菓子（その他） スイーツ（その他）,￥1000～￥1999,-,3.01,東京都 新宿区西新宿1-1-4 京王百貨店新宿店,03-5321-5799,4,22,https://tabelog.com/tokyo/A1304/A130401/13218659/dtlmenu,https://tabelog.com/tokyo/A1304/A130401/13218659/dtlphotolst/3/smp2,https://tabelog.com/tokyo/A1304/A130401/13218659/dtlphotolst/4/smp2,新宿区
みみずく洋菓子店,,https://tabelog.com/tokyo/A1304/A130401/13257737/,-,新宿三丁目駅,ケーキ チョコレート,-,-,3.00,東京都 新宿区新宿3-14-1 ,03-3352-1111,3,193,https://tabelog.com/tokyo/A1304/A130401/13257737/dtlmenu,https://tabelog.com/tokyo/A1304/A130401/13257737/dtlphotolst/3/smp2,https://tabelog.com/tokyo/A1304/A130401/13257737/dtlphotolst/4/smp2,新宿区
オザワ洋菓子店,,https://tabelog.com/tokyo/A1310/A131004/13055194/,日曜日・月曜日,本郷三丁目駅,ケーキ,￥1000～￥1999,～￥999,3.62,東京都 文京区本郷3-22-9 ,03-3815-9554,181,18487,https://tabelog.com/tokyo/A1310/A131004/13055194/dtlmenu,https://tabelog.com/tokyo/A1310/A131004/13055194/dtlphotolst/3/smp2,https://tabelog.com/tokyo/A1310/A131004/13055194/dtlphotolst/4/smp2,文京区
ぱんと洋菓子 オリムピックパン,,https://tabelog.com/tokyo/A1323/A132301/13026339/,日曜日,本駒込駅,パン サンドイッチ 洋菓子（その他）,-,～￥999,3.25,東京都 文京区向丘1-10-6 ,03-3815-7078,21,390,https://tabelog.com/tokyo/A1323/A132301/13026339/dtlmenu,https://tabelog.com/tokyo/A1323/A132301/13026339/dtlphotolst/3/smp2,https://tabelog.com/tokyo/A1323/A132301/13026339/dtlphotolst/4/smp2,文京区
和洋菓子 松右衛門,（Matsuemon　まつえもん）,https://tabelog.com/tokyo/A1323/A132301/13104263/,不定休,白山駅,ケーキ 和菓子,-,￥1000～￥1999,3.10,東京都 文京区白山5-1-9 レジオス文京白山1F,03-6801-5110,13,1507,https://tabelog.com/tokyo/A1323/A132301/13104263/dtlmenu,https://tabelog.com/tokyo/A1323/A132301/13104263/dtlphotolst/3/smp2,https://tabelog.com/tokyo/A1323/A132301/13104263/dtlphotolst/4/smp2,文京区
ベルー洋菓子店,,https://tabelog.com/tokyo/A1323/A132301/13185890/,火曜日,白山駅,洋菓子（その他）,-,￥1000～￥1999,3.07,東京都 文京区向丘1-9-19 ,03-5800-8388,8,231,https://tabelog.com/tokyo/A1323/A132301/13185890/dtlmenu,https://tabelog.com/tokyo/A1323/A132301/13185890/dtlphotolst/3/smp2,https://tabelog.com/tokyo/A1323/A132301/13185890/dtlphotolst/4/smp2,文京区
週3パン屋 ラ・コリーヌ洋菓子店 Bon Point店,,https://tabelog.com/tokyo/A1310/A131003/13215904/,火曜日・木曜日・土曜日・日曜日・祝日,後楽園駅,パン サンドイッチ 洋菓子（その他）,-,～￥999,3.08,東京都 文京区本郷1-33-12 ,-,5,82,https://tabelog.com/tokyo/A1310/A131003/13215904/dtlmenu,https://tabelog.com/tokyo/A1310/A131003/13215904/dtlphotolst/3/smp2,https://tabelog.com/tokyo/A1310/A131003/13215904/dtlphotolst/4/smp2,文京区
中屋洋菓子店,,https://tabelog.com/tokyo/A1311/A131101/13101785/,年中無休,新御徒町駅,ケーキ,～￥999,～￥999,3.39,東京都 台東区台東4-22-10 中屋ビル 1F,03-3831-2449,32,888,https://tabelog.com/tokyo/A1311/A131101/13101785/dtlmenu,https://tabelog.com/tokyo/A1311/A131101/13101785/dtlphotolst/3/smp2,https://tabelog.com/tokyo/A1311/A131101/13101785/dtlphotolst/4/smp2,台東区
欧風洋菓子店 シミズ 松屋浅草店,（SHIMIZU）,https://tabelog.com/tokyo/A1311/A131102/13227825/,松屋浅草に準ずる,浅草駅（東武・都営・メトロ）,ケーキ 洋菓子（その他）,-,￥1000～￥1999,3.08,東京都 台東区花川戸1-4-1 松屋浅草  1F 和洋菓子「浅草すいーつ小町」,03-3842-1111,11,287,https://tabelog.com/tokyo/A1311/A131102/13227825/dtlmenu,https://tabelog.com/tokyo/A1311/A131102/13227825/dtlphotolst/3/smp2,https://tabelog.com/tokyo/A1311/A131102/13227825/dtlphotolst/4/smp2,台東区
コシジ洋菓子店  松屋浅草店,,https://tabelog.com/tokyo/A1311/A131102/13161683/,松屋浅草に順ずる,浅草駅（東武・都営・メトロ）,洋菓子（その他）,-,～￥999,3.02,東京都 台東区花川戸1-4-1 松屋浅草  1F,03-3842-1111,3,21,https://tabelog.com/tokyo/A1311/A131102/13161683/dtlmenu,https://tabelog.com/tokyo/A1311/A131102/13161683/dtlphotolst/3/smp2,https://tabelog.com/tokyo/A1311/A131102/13161683/dtlphotolst/4/smp2,台東区
つばめ洋菓子店,,https://tabelog.com/tokyo/A1312/A131203/13264853/,不定休あり,京成曳舟駅,ケーキ,-,～￥999,3.05,東京都 墨田区京島2-10-9 ,050-3145-2770,3,243,https://tabelog.com/tokyo/A1312/A131203/13264853/dtlmenu,https://tabelog.com/tokyo/A1312/A131203/13264853/dtlphotolst/3/smp2,https://tabelog.com/tokyo/A1312/A131203/13264853/dtlphotolst/4/smp2,墨田区
洋菓子処 ましゅまろ亭,,https://tabelog.com/tokyo/A1312/A131202/13059480/,火曜日,亀戸駅,洋菓子（その他） スイーツ（その他）,-,～￥999,3.55,東京都 江東区亀戸6-22-8 １Ｆ,03-5836-3232,121,6108,https://tabelog.com/tokyo/A1312/A131202/13059480/dtlmenu,https://tabelog.com/tokyo/A1312/A131202/13059480/dtlphotolst/3/smp2,https://tabelog.com/tokyo/A1312/A131202/13059480/dtlphotolst/4/smp2,江東区
大津洋菓子店,,https://tabelog.com/tokyo/A1313/A131303/13268877/,月曜日、火曜日、水曜日、木曜日、金曜日,清澄白河駅,洋菓子（その他）,-,￥1000～￥1999,3.08,東京都 江東区三好2-15-12 峯岸ビル 1F,-,5,689,https://tabelog.com/tokyo/A1313/A131303/13268877/dtlmenu,https://tabelog.com/tokyo/A1313/A131303/13268877/dtlphotolst/3/smp2,https://tabelog.com/tokyo/A1313/A131303/13268877/dtlphotolst/4/smp2,江東区
門洋菓子店 清澄白河店,,https://tabelog.com/tokyo/A1313/A131303/13190378/,不定休,清澄白河駅,ケーキ,-,～￥999,3.07,東京都 江東区平野3-3-4 パレデサンシャール 1F,03-3643-2570,6,267,https://tabelog.com/tokyo/A1313/A131303/13190378/dtlmenu,https://tabelog.com/tokyo/A1313/A131303/13190378/dtlphotolst/3/smp2,https://tabelog.com/tokyo/A1313/A131303/13190378/dtlphotolst/4/smp2,江東区
アワヤ洋菓子店,,https://tabelog.com/tokyo/A1315/A131501/13048043/,毎週火曜日･隔週月曜日,大井町駅,喫茶店 ケーキ カフェ,-,～￥999,3.30,東京都 品川区東大井5-3-10 ,03-3471-9038,51,954,https://tabelog.com/tokyo/A1315/A131501/13048043/dtlmenu,https://tabelog.com/tokyo/A1315/A131501/13048043/dtlphotolst/3/smp2,https://tabelog.com/tokyo/A1315/A131501/13048043/dtlphotolst/4/smp2,品川区
マロニエ洋菓子店,,https://tabelog.com/tokyo/A1317/A131712/13099806/,火曜日（祝日の場合は翌日休み）,旗の台駅,ケーキ,-,～￥999,3.20,東京都 品川区旗の台3-13-5 ,-,14,580,https://tabelog.com/tokyo/A1317/A131712/13099806/dtlmenu,https://tabelog.com/tokyo/A1317/A131712/13099806/dtlphotolst/3/smp2,https://tabelog.com/tokyo/A1317/A131712/13099806/dtlphotolst/4/smp2,品川区
ヘンテコ 森の洋菓子店,（henteco）,https://tabelog.com/tokyo/A1317/A131702/13219549/,月曜日・火曜日、不定休(公式サイトにて告知),都立大学駅,洋菓子（その他） カフェ ケーキ,-,￥1000～￥1999,3.51,東京都 目黒区碑文谷4-15-17 1F,03-6412-8860,66,7183,https://tabelog.com/tokyo/A1317/A131702/13219549/dtlmenu,https://tabelog.com/tokyo/A1317/A131702/13219549/dtlphotolst/3/smp2,https://tabelog.com/tokyo/A1317/A131702/13219549/dtlphotolst/4/smp2,目黒区
ベンデル洋菓子店,,https://tabelog.com/tokyo/A1317/A131714/13103622/,月曜日（祝日は営業）,久が原駅,ケーキ,～￥999,～￥999,3.19,東京都 大田区久が原3-36-3 ,03-3752-1641,10,165,https://tabelog.com/tokyo/A1317/A131714/13103622/dtlmenu,https://tabelog.com/tokyo/A1317/A131714/13103622/dtlphotolst/3/smp2,https://tabelog.com/tokyo/A1317/A131714/13103622/dtlphotolst/4/smp2,大田区
ローザー洋菓子店,（ローザー・ヨウガシテン）,https://tabelog.com/tokyo/A1317/A131704/13008219/,日曜日、祝日,田園調布駅,ケーキ チョコレート,-,～￥999,3.10,東京都 大田区田園調布2-48-13 ,03-3721-2662,12,1872,https://tabelog.com/tokyo/A1317/A131704/13008219/dtlmenu,https://tabelog.com/tokyo/A1317/A131704/13008219/dtlphotolst/3/smp2,https://tabelog.com/tokyo/A1317/A131704/13008219/dtlphotolst/4/smp2,大田区
特選洋菓子館,,https://tabelog.com/tokyo/A1315/A131504/13204301/,-,羽田空港第１ターミナル駅（東京モノレール）,その他,～￥999,-,3.10,東京都 大田区羽田空港3-3-2 羽田空港 第1旅客ターミナル 2F,03-5757-8127,9,36,https://tabelog.com/tokyo/A1315/A131504/13204301/dtlmenu,https://tabelog.com/tokyo/A1315/A131504/13204301/dtlphotolst/3/smp2,https://tabelog.com/tokyo/A1315/A131504/13204301/dtlphotolst/4/smp2,大田区
スマトラ洋菓子店,,https://tabelog.com/tokyo/A1317/A131713/13202890/,不定休,西馬込駅,ケーキ 洋菓子（その他）,-,￥1000～￥1999,3.09,東京都 大田区上池台3-47-3 1F,03-3727-6231,8,105,https://tabelog.com/tokyo/A1317/A131713/13202890/dtlmenu,https://tabelog.com/tokyo/A1317/A131713/13202890/dtlphotolst/3/smp2,https://tabelog.com/tokyo/A1317/A131713/13202890/dtlphotolst/4/smp2,大田区
ねんりん家 羽田空港第１ターミナル 特選洋菓子館,,https://tabelog.com/tokyo/A1315/A131504/13119820/,無休,羽田空港第１ターミナル駅（東京モノレール）,バームクーヘン,-,￥1000～￥1999,3.12,東京都 大田区羽田空港3-3-2 羽田空港第1旅客ターミナル  2F マーケットプレイス,03-5757-8127,53,483,https://tabelog.com/tokyo/A1315/A131504/13119820/dtlmenu,https://tabelog.com/tokyo/A1315/A131504/13119820/dtlphotolst/3/smp2,https://tabelog.com/tokyo/A1315/A131504/13119820/dtlphotolst/4/smp2,大田区
東京往来館 羽田空港第１ターミナル 特選洋菓子館,,https://tabelog.com/tokyo/A1315/A131504/13111317/,-,羽田空港第２ターミナル駅（東京モノレール）,その他,￥1000～￥1999,～￥999,3.11,東京都 大田区羽田空港1丁目 羽田空港第一ターミナル,03-5757-8127,10,45,https://tabelog.com/tokyo/A1315/A131504/13111317/dtlmenu,https://tabelog.com/tokyo/A1315/A131504/13111317/dtlphotolst/3/smp2,https://tabelog.com/tokyo/A1315/A131504/13111317/dtlphotolst/4/smp2,大田区
千疋屋総本店 羽田空港第1旅客ターミナル特選洋菓子館店,,https://tabelog.com/tokyo/A1315/A131504/13142312/,年中無休,羽田空港第１ターミナル駅（東京モノレール）,ケーキ スイーツ（その他）,￥2000～￥2999,￥6000～￥7999,3.03,東京都 大田区羽田空港3-3-2 羽田空港第1旅客ターミナル ル 2F マーケットプレイス,03-5757-8127,11,190,https://tabelog.com/tokyo/A1315/A131504/13142312/dtlmenu,https://tabelog.com/tokyo/A1315/A131504/13142312/dtlphotolst/3/smp2,https://tabelog.com/tokyo/A1315/A131504/13142312/dtlphotolst/4/smp2,大田区
シュガーバターの木 羽田空港第1ターミナル 特選洋菓子館,,https://tabelog.com/tokyo/A1315/A131504/13268791/,-,羽田空港第１ターミナル駅（東京モノレール）,洋菓子（その他）,-,-,3.03,東京都 大田区羽田空港3-3-2 羽田空港第1旅客ターミナル ミナルビル 2F マーケットプレイス15,0120-207-730,2,4,https://tabelog.com/tokyo/A1315/A131504/13268791/dtlmenu,https://tabelog.com/tokyo/A1315/A131504/13268791/dtlphotolst/3/smp2,https://tabelog.com/tokyo/A1315/A131504/13268791/dtlphotolst/4/smp2,大田区
セゾン ド セツコショップ 羽田空港第1ターミナルビル 特選洋菓子館,,https://tabelog.com/tokyo/A1315/A131504/13132902/,無休,羽田空港第１ターミナル駅（東京モノレール）,チョコレート,￥1000～￥1999,-,3.01,東京都 大田区羽田空港3-3-2 羽田空港第1旅客ターミナル  2F 特選洋菓子館内,03-5757-8127,7,42,https://tabelog.com/tokyo/A1315/A131504/13132902/dtlmenu,https://tabelog.com/tokyo/A1315/A131504/13132902/dtlphotolst/3/smp2,https://tabelog.com/tokyo/A1315/A131504/13132902/dtlphotolst/4/smp2,大田区
ヴィタメール  羽田空港特選洋菓子館,,https://tabelog.com/tokyo/A1315/A131504/13243262/,-,羽田空港第１ターミナル駅（東京モノレール）,チョコレート,-,-,-,東京都 大田区羽田空港3-3-2 羽田空港第1旅客ターミナル マーケットプレイス17,03-5757-8127,1,27,https://tabelog.com/tokyo/A1315/A131504/13243262/dtlmenu,https://tabelog.com/tokyo/A1315/A131504/13243262/dtlphotolst/3/smp2,https://tabelog.com/tokyo/A1315/A131504/13243262/dtlphotolst/4/smp2,大田区
ジャン・ミエ 羽田空港第1ターミナルビル 特選洋菓子館,,https://tabelog.com/tokyo/A1315/A131504/13149216/,年中無休,羽田空港第１ターミナル駅（東京モノレール）,ケーキ,-,-,3.03,東京都 大田区羽田空港3-3-2 羽田空港第1旅客ターミナル  マーケットプレイス 2F,-,1,19,https://tabelog.com/tokyo/A1315/A131504/13149216/dtlmenu,https://tabelog.com/tokyo/A1315/A131504/13149216/dtlphotolst/3/smp2,https://tabelog.com/tokyo/A1315/A131504/13149216/dtlphotolst/4/smp2,大田区
洋菓子ヴィヨン,（VILLON）,https://tabelog.com/tokyo/A1317/A131707/13023844/,不定休,桜新町駅,バームクーヘン ケーキ チョコレート,～￥999,～￥999,3.64,東京都 世田谷区桜新町2-8-4 ,03-5426-5044,172,10763,https://tabelog.com/tokyo/A1317/A131707/13023844/dtlmenu,https://tabelog.com/tokyo/A1317/A131707/13023844/dtlphotolst/3/smp2,https://tabelog.com/tokyo/A1317/A131707/13023844/dtlphotolst/4/smp2,世田谷区
ラ・テール洋菓子店,（LA TERRE）,https://tabelog.com/tokyo/A1317/A131705/13004810/,無休,池尻大橋駅,ケーキ,～￥999,～￥999,3.63,東京都 世田谷区池尻3-27-10 エノモトビルⅡ 1F,03-5486-5489,158,6660,https://tabelog.com/tokyo/A1317/A131705/13004810/dtlmenu,https://tabelog.com/tokyo/A1317/A131705/13004810/dtlphotolst/3/smp2,https://tabelog.com/tokyo/A1317/A131705/13004810/dtlphotolst/4/smp2,世田谷区
ニシキヤ洋菓子店,（Nishikiya）,https://tabelog.com/tokyo/A1318/A131814/13012633/,木曜・月3回水曜,祖師ケ谷大蔵駅,カフェ ケーキ チョコレート,￥1000～￥1999,￥1000～￥1999,3.53,東京都 世田谷区祖師谷3-32-3 NN協同ビル １Ｆ,03-3482-0482,78,3120,https://tabelog.com/tokyo/A1318/A131814/13012633/dtlmenu,https://tabelog.com/tokyo/A1318/A131814/13012633/dtlphotolst/3/smp2,https://tabelog.com/tokyo/A1318/A131814/13012633/dtlphotolst/4/smp2,世田谷区
アリマ洋菓子,,https://tabelog.com/tokyo/A1318/A131809/13042620/,水曜（祝日の場合は営業し、前後で振り替え休日になる可能性あり。臨時休業あり）,芦花公園駅,ケーキ 喫茶店,-,～￥999,3.50,東京都 世田谷区南烏山3丁目1-16 ,03-3309-3832,47,1103,https://tabelog.com/tokyo/A1318/A131809/13042620/dtlmenu,https://tabelog.com/tokyo/A1318/A131809/13042620/dtlphotolst/3/smp2,https://tabelog.com/tokyo/A1318/A131809/13042620/dtlphotolst/4/smp2,世田谷区
ヴォアラ洋菓子店,（ヴォアラ ヨウガシテン）,https://tabelog.com/tokyo/A1318/A131813/13003123/,年中無休　誠に勝手ながら年始の営業は、1月1日 10時〜17時、1月2〜4日　9時〜19時とさせて頂きます。宜しくお願い致します。,千歳船橋駅,ケーキ チョコレート カフェ,￥1000～￥1999,￥1000～￥1999,3.45,東京都 世田谷区桜丘3-27-4 ,03-3706-6662,61,2682,https://tabelog.com/tokyo/A1318/A131813/13003123/dtlmenu,https://tabelog.com/tokyo/A1318/A131813/13003123/dtlphotolst/3/smp2,https://tabelog.com/tokyo/A1318/A131813/13003123/dtlphotolst/4/smp2,世田谷区
アーモンド洋菓子店,,https://tabelog.com/tokyo/A1317/A131706/13039045/,第2・第4木曜日、不定休(公式サイトにて告知),西太子堂駅,ケーキ アイスクリーム,-,～￥999,3.31,東京都 世田谷区太子堂3-14-1 ,03-3412-5982,40,1637,https://tabelog.com/tokyo/A1317/A131706/13039045/dtlmenu,https://tabelog.com/tokyo/A1317/A131706/13039045/dtlphotolst/3/smp2,https://tabelog.com/tokyo/A1317/A131706/13039045/dtlphotolst/4/smp2,世田谷区
カワムラ洋菓子店 本店,（カワムラ・ヨウガシテン）,https://tabelog.com/tokyo/A1318/A131812/13013122/,無休,梅ケ丘駅,ケーキ 喫茶店,-,～￥999,3.24,東京都 世田谷区梅丘1-34-1 梅丘セントラルMS1F,03-3427-0888,25,594,https://tabelog.com/tokyo/A1318/A131812/13013122/dtlmenu,https://tabelog.com/tokyo/A1318/A131812/13013122/dtlphotolst/3/smp2,https://tabelog.com/tokyo/A1318/A131812/13013122/dtlphotolst/4/smp2,世田谷区
小林洋菓子店,,https://tabelog.com/tokyo/A1318/A131809/13122106/,水曜・木曜・日曜,千歳烏山駅,ケーキ,-,￥1000～￥1999,3.24,東京都 世田谷区給田3-5-2 ,03-3308-0522,12,240,https://tabelog.com/tokyo/A1318/A131809/13122106/dtlmenu,https://tabelog.com/tokyo/A1318/A131809/13122106/dtlphotolst/3/smp2,https://tabelog.com/tokyo/A1318/A131809/13122106/dtlphotolst/4/smp2,世田谷区
