name,subname,url,holiday,nearest,genre,price_dinner,price_lunch,star,address,tel,reviews,bookmarks,menu_url,photo_out,photo_in
パティスリーハヤトヤマダ,（Patisserie Hayato Yamada）,https://tabelog.com/chiba/A1203/A120302/12045729/,火曜日、不定休(公式サイトにて告知),秋山駅,ケーキ チョコレート マカロン,-,￥2000～￥2999,3.30,千葉県 松戸市秋山1-16-2 DAICHI B.L.D 秋山 1F,047-382-6897,27,751,https://tabelog.com/chiba/A1203/A120302/12045729/dtlmenu,https://tabelog.com/chiba/A1203/A120302/12045729/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1203/A120302/12045729/dtlphotolst/4/smp2,松戸市
パティスリー サルビア,,https://tabelog.com/chiba/A1203/A120302/12033730/,水曜日、不定休（SNSにて告知）,みのり台駅,ケーキ,-,～￥999,3.08,千葉県 松戸市稔台7-13-19 ,047-364-8434,6,121,https://tabelog.com/chiba/A1203/A120302/12033730/dtlmenu,https://tabelog.com/chiba/A1203/A120302/12033730/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1203/A120302/12033730/dtlphotolst/4/smp2,松戸市
パティスリー ワン,（patisserie ONE）,https://tabelog.com/chiba/A1203/A120302/12054037/,火曜日,五香駅,ケーキ,-,～￥999,3.08,千葉県 松戸市五香2-39-22 ,047-385-4235,5,45,https://tabelog.com/chiba/A1203/A120302/12054037/dtlmenu,https://tabelog.com/chiba/A1203/A120302/12054037/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1203/A120302/12054037/dtlphotolst/4/smp2,松戸市
パティスリー ジュン,,https://tabelog.com/chiba/A1203/A120302/12033743/,水曜日,常盤平駅,ケーキ パン,-,￥1000～￥1999,3.07,千葉県 松戸市小金原7-33-28 ,047-375-8656,8,171,https://tabelog.com/chiba/A1203/A120302/12033743/dtlmenu,https://tabelog.com/chiba/A1203/A120302/12033743/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1203/A120302/12033743/dtlphotolst/4/smp2,松戸市
パティスリースズキ,（PATISSERIE SUZUKI）,https://tabelog.com/chiba/A1203/A120302/12041858/,月曜,馬橋駅,ケーキ 洋菓子（その他）,-,￥2000～￥2999,3.06,千葉県 松戸市中和倉140-2 ,047-340-2558,4,102,https://tabelog.com/chiba/A1203/A120302/12041858/dtlmenu,https://tabelog.com/chiba/A1203/A120302/12041858/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1203/A120302/12041858/dtlphotolst/4/smp2,松戸市
パティスリー みつ葉とはーと,,https://tabelog.com/chiba/A1203/A120302/12046752/,火曜日、水曜日（週により変更の場合あり）,五香駅,ケーキ,-,～￥999,3.04,千葉県 松戸市牧の原2-48 牧の原団地1-20号棟 1F,047-710-7301,2,44,https://tabelog.com/chiba/A1203/A120302/12046752/dtlmenu,https://tabelog.com/chiba/A1203/A120302/12046752/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1203/A120302/12046752/dtlphotolst/4/smp2,松戸市
patisserie omotyabako,（パティスリー オモチャバコ）,https://tabelog.com/chiba/A1203/A120302/12053508/,-,常盤平駅,ケーキ,-,-,3.00,千葉県 松戸市小金原6-2-10 ,047-369-7768,4,70,https://tabelog.com/chiba/A1203/A120302/12053508/dtlmenu,https://tabelog.com/chiba/A1203/A120302/12053508/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1203/A120302/12053508/dtlphotolst/4/smp2,松戸市
パティスリー ハグミ,（patisserie HAGUMI）,https://tabelog.com/chiba/A1203/A120302/12050627/,不定休,北国分駅,ケーキ,～￥999,～￥999,3.00,千葉県 松戸市二十世紀が丘梨元町5-5 ,047-712-1893,4,58,https://tabelog.com/chiba/A1203/A120302/12050627/dtlmenu,https://tabelog.com/chiba/A1203/A120302/12050627/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1203/A120302/12050627/dtlphotolst/4/smp2,松戸市
パティスリー ボンヌ・ヴィサージュ,,https://tabelog.com/chiba/A1202/A120202/12001149/,火曜日、不定休(SNSにて告知),行徳駅,ケーキ,～￥999,～￥999,3.38,千葉県 市川市行徳駅前4-1-6 ,047-398-7765,48,1076,https://tabelog.com/chiba/A1202/A120202/12001149/dtlmenu,https://tabelog.com/chiba/A1202/A120202/12001149/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1202/A120202/12001149/dtlphotolst/4/smp2,市川市
パティスリー ボン・クラージュ,（BonCourage）,https://tabelog.com/chiba/A1202/A120202/12003933/,水曜日、不定休（SNSにて告知）,妙典駅,ケーキ パン,-,～￥999,3.32,千葉県 市川市妙典5-14-31 メゾン・ヴィクトワール1Ｆ,047-318-6300,33,653,https://tabelog.com/chiba/A1202/A120202/12003933/dtlmenu,https://tabelog.com/chiba/A1202/A120202/12003933/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1202/A120202/12003933/dtlphotolst/4/smp2,市川市
ラ・パティスリー・ツキ,（La Patisserie TSUKI）,https://tabelog.com/chiba/A1202/A120202/12041277/,火曜日,市川大野駅,ケーキ 洋菓子（その他） チョコレート,-,￥1000～￥1999,3.31,千葉県 市川市南大野2-2-34 ,047-718-0735,28,673,https://tabelog.com/chiba/A1202/A120202/12041277/dtlmenu,https://tabelog.com/chiba/A1202/A120202/12041277/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1202/A120202/12041277/dtlphotolst/4/smp2,市川市
パティスリー シトロニエ,（PATISSERIE CITORONNIER）,https://tabelog.com/chiba/A1202/A120202/12042137/,毎週水曜日　　第1・2日曜日,京成八幡駅,ケーキ,-,～￥999,3.10,千葉県 市川市八幡2-8-2 中村ビル 1F,047-727-9156,9,197,https://tabelog.com/chiba/A1202/A120202/12042137/dtlmenu,https://tabelog.com/chiba/A1202/A120202/12042137/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1202/A120202/12042137/dtlphotolst/4/smp2,市川市
パティスリー ラ パージュ,（pâtisserie la page）,https://tabelog.com/chiba/A1202/A120202/12055132/,月曜・火曜　（祭日は営業、体制が整い次第火曜日定休のみ）,京成八幡駅,ケーキ 洋菓子（その他）,-,￥1000～￥1999,3.08,千葉県 市川市八幡3-29-16 y's premiere 1F,047-706-7657,10,335,https://tabelog.com/chiba/A1202/A120202/12055132/dtlmenu,https://tabelog.com/chiba/A1202/A120202/12055132/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1202/A120202/12055132/dtlphotolst/4/smp2,市川市
パティスリー デトゥール,,https://tabelog.com/chiba/A1202/A120201/12050792/,火曜日(火曜日、水曜日連休の場合あり),下総中山駅,ケーキ,-,￥1000～￥1999,3.08,千葉県 市川市鬼高2-9-13 テイルコート 1F,047-711-0338,6,266,https://tabelog.com/chiba/A1202/A120201/12050792/dtlmenu,https://tabelog.com/chiba/A1202/A120201/12050792/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1202/A120201/12050792/dtlphotolst/4/smp2,市川市
パティスリー ル・シエル 本八幡店,（Patisserie Le Ciel）,https://tabelog.com/chiba/A1202/A120202/12054094/,-,本八幡駅,ケーキ,-,～￥999,3.08,千葉県 市川市八幡2-4-7 ,047-318-2133,5,244,https://tabelog.com/chiba/A1202/A120202/12054094/dtlmenu,https://tabelog.com/chiba/A1202/A120202/12054094/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1202/A120202/12054094/dtlphotolst/4/smp2,市川市
ラ･メゾン アンソレイユターブル パティスリー シャポー市川店,（La Maison ensoleille table）,https://tabelog.com/chiba/A1202/A120202/12047339/,-,市川駅,ケーキ,￥3000～￥3999,-,3.04,千葉県 市川市市川1-1-1 シャポー市川 B1F,047-314-8898,3,32,https://tabelog.com/chiba/A1202/A120202/12047339/dtlmenu,https://tabelog.com/chiba/A1202/A120202/12047339/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1202/A120202/12047339/dtlphotolst/4/smp2,市川市
Patisserie ＆Restaurant Amour 原木中山店,（パティスリー＆レストラン アムール）,https://tabelog.com/chiba/A1202/A120202/12028740/,月曜日 (祝日の場合は営業し翌日休み),原木中山駅,イタリアン ステーキ ケーキ,￥3000～￥3999,￥1000～￥1999,3.42,千葉県 市川市田尻3-11-15 ,050-5595-9154,59,2808,https://tabelog.com/chiba/A1202/A120202/12028740/dtlmenu,https://tabelog.com/chiba/A1202/A120202/12028740/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1202/A120202/12028740/dtlphotolst/4/smp2,市川市
Patisserie Enfants,（パティスリー アンファン）,https://tabelog.com/chiba/A1202/A120202/12004418/,火・第３水,行徳駅,ケーキ,-,～￥999,3.22,千葉県 市川市行徳駅前1-7-2 ,047-395-9583,18,298,https://tabelog.com/chiba/A1202/A120202/12004418/dtlmenu,https://tabelog.com/chiba/A1202/A120202/12004418/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1202/A120202/12004418/dtlphotolst/4/smp2,市川市
Patisserie T.sweets,（パティスリー・ティー・スイーツ）,https://tabelog.com/chiba/A1202/A120202/12024074/,火曜日(祝日を除く),妙典駅,ケーキ,-,～￥999,3.17,千葉県 市川市妙典2-16-18 マザーユニックス102,047-702-8951,18,276,https://tabelog.com/chiba/A1202/A120202/12024074/dtlmenu,https://tabelog.com/chiba/A1202/A120202/12024074/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1202/A120202/12024074/dtlphotolst/4/smp2,市川市
パティスリー ラポルテ,（Patisseie LA PORTEE）,https://tabelog.com/chiba/A1202/A120203/12043012/,木曜日,浦安駅,ケーキ,～￥999,～￥999,3.09,千葉県 浦安市北栄4-20-20 ,047-316-1275,9,195,https://tabelog.com/chiba/A1202/A120203/12043012/dtlmenu,https://tabelog.com/chiba/A1202/A120203/12043012/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1202/A120203/12043012/dtlphotolst/4/smp2,浦安市
Patisserie Un樹,（アンジュ）,https://tabelog.com/chiba/A1202/A120203/12021535/,無休,浦安駅,ケーキ 洋菓子（その他）,～￥999,～￥999,3.35,千葉県 浦安市北栄1-3-27 ,047-351-4211,57,1352,https://tabelog.com/chiba/A1202/A120203/12021535/dtlmenu,https://tabelog.com/chiba/A1202/A120203/12021535/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1202/A120203/12021535/dtlphotolst/4/smp2,浦安市
パティスリーラパン,（Patisserie Lapin）,https://tabelog.com/chiba/A1202/A120201/12005695/,月、火曜日,船橋日大前駅,ケーキ チョコレート,￥1000～￥1999,～￥999,3.44,千葉県 船橋市坪井東2-14-25 ,047-462-4030,39,787,https://tabelog.com/chiba/A1202/A120201/12005695/dtlmenu,https://tabelog.com/chiba/A1202/A120201/12005695/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1202/A120201/12005695/dtlphotolst/4/smp2,船橋市
Patisserie sucre sale,（パティスリー シュクレサレ）,https://tabelog.com/chiba/A1202/A120201/12020798/,水曜日,高根木戸駅,ケーキ,-,～￥999,3.42,千葉県 船橋市習志野台2-14-21 MOビル1F,047-402-1009,30,769,https://tabelog.com/chiba/A1202/A120201/12020798/dtlmenu,https://tabelog.com/chiba/A1202/A120201/12020798/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1202/A120201/12020798/dtlphotolst/4/smp2,船橋市
パティスリー ル シエル 船橋本町通り店,（patisserie Le Ciel）,https://tabelog.com/chiba/A1202/A120201/12047214/,月曜日・火曜日　イベントや祝日によって変更あります。,京成船橋駅,ケーキ 洋菓子（その他）,-,～￥999,3.33,千葉県 船橋市本町2-26-22 ,047-401-3399,27,908,https://tabelog.com/chiba/A1202/A120201/12047214/dtlmenu,https://tabelog.com/chiba/A1202/A120201/12047214/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1202/A120201/12047214/dtlphotolst/4/smp2,船橋市
パティスリー リコ,（Patisserie Rico）,https://tabelog.com/chiba/A1202/A120201/12037591/,木曜日 ※公式サイトに営業日カレンダーあり,船橋駅,ケーキ,-,～￥999,3.25,千葉県 船橋市本町6-12-9 ,047-407-0502,21,398,https://tabelog.com/chiba/A1202/A120201/12037591/dtlmenu,https://tabelog.com/chiba/A1202/A120201/12037591/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1202/A120201/12037591/dtlphotolst/4/smp2,船橋市
パティスリー カンジュ,（Patisserie kanju）,https://tabelog.com/chiba/A1202/A120201/12043651/,水曜日・第２火曜日、不定休(SNSにて告知),船橋法典駅,ケーキ,￥1000～￥1999,￥1000～￥1999,3.13,千葉県 船橋市藤原3-36-51 ,047-430-5544,9,106,https://tabelog.com/chiba/A1202/A120201/12043651/dtlmenu,https://tabelog.com/chiba/A1202/A120201/12043651/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1202/A120201/12043651/dtlphotolst/4/smp2,船橋市
パティスリー・ジュゴン,（Patisserie JUGON）,https://tabelog.com/chiba/A1202/A120201/12024960/,日曜・月曜　　（日月以外の祝日営業）,二和向台駅,ケーキ,-,￥1000～￥1999,3.06,千葉県 船橋市咲が丘2-11-3 ,047-407-2056,9,266,https://tabelog.com/chiba/A1202/A120201/12024960/dtlmenu,https://tabelog.com/chiba/A1202/A120201/12024960/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1202/A120201/12024960/dtlphotolst/4/smp2,船橋市
ラ・メゾン アンソレイユターブル パティスリー シャポー船橋店,,https://tabelog.com/chiba/A1202/A120201/12043586/,-,船橋駅,洋菓子（その他）,￥1000～￥1999,～￥999,3.03,千葉県 船橋市本町7-1-1 シャポー船橋店 1F,047-409-3838,12,113,https://tabelog.com/chiba/A1202/A120201/12043586/dtlmenu,https://tabelog.com/chiba/A1202/A120201/12043586/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1202/A120201/12043586/dtlphotolst/4/smp2,船橋市
パティスリー 銀座千疋屋×花園万頭,,https://tabelog.com/chiba/A1202/A120201/12055206/,-,船橋駅,和菓子 洋菓子（その他）,-,-,-,千葉県 船橋市本町7-1-1 シャポー船橋  1F,047-411-6400,-,7,https://tabelog.com/chiba/A1202/A120201/12055206/dtlmenu,https://tabelog.com/chiba/A1202/A120201/12055206/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1202/A120201/12055206/dtlphotolst/4/smp2,船橋市
パティスリー シャルメ,,https://tabelog.com/chiba/A1202/A120201/12055139/,不定休,習志野駅,ケーキ パン,-,-,-,千葉県 船橋市習志野台5-23-23 ,047-490-2424,-,37,https://tabelog.com/chiba/A1202/A120201/12055139/dtlmenu,https://tabelog.com/chiba/A1202/A120201/12055139/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1202/A120201/12055139/dtlphotolst/4/smp2,船橋市
patisserie la page,（パティスリー ラ パージュ）,https://tabelog.com/chiba/A1202/A120201/12021060/,火曜,習志野駅,ケーキ スイーツ（その他）,￥1000～￥1999,～￥999,3.59,千葉県 船橋市習志野台5-23-23 ,-,84,3585,https://tabelog.com/chiba/A1202/A120201/12021060/dtlmenu,https://tabelog.com/chiba/A1202/A120201/12021060/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1202/A120201/12021060/dtlphotolst/4/smp2,船橋市
パティスリー イルコンフィ,（patisserie ile confi  ）,https://tabelog.com/chiba/A1202/A120201/12027040/,月曜日,高根公団駅,ケーキ かき氷,￥1000～￥1999,￥1000～￥1999,3.46,千葉県 船橋市高根台1-2-1 エポカ高根台1F,-,21,618,https://tabelog.com/chiba/A1202/A120201/12027040/dtlmenu,https://tabelog.com/chiba/A1202/A120201/12027040/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1202/A120201/12027040/dtlphotolst/4/smp2,船橋市
パティスリー ル・シエル 鎌ヶ谷本店,,https://tabelog.com/chiba/A1203/A120303/12030486/,火曜日（他不定休あり）,初富駅,ケーキ,￥2000～￥2999,￥2000～￥2999,3.44,千葉県 鎌ケ谷市南初富1-13-10 ,047-401-0484,40,1131,https://tabelog.com/chiba/A1203/A120303/12030486/dtlmenu,https://tabelog.com/chiba/A1203/A120303/12030486/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1203/A120303/12030486/dtlphotolst/4/smp2,鎌ヶ谷市
パティスリー リーヴルディマージュ,（Patisserie Livre D’images）,https://tabelog.com/chiba/A1203/A120303/12013409/,水曜日,初富駅,ケーキ 洋菓子（その他）,-,～￥999,3.43,千葉県 鎌ケ谷市新鎌ケ谷2丁目2-26 ステラ新鎌ヶ谷1F,047-446-4649,31,617,https://tabelog.com/chiba/A1203/A120303/12013409/dtlmenu,https://tabelog.com/chiba/A1203/A120303/12013409/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1203/A120303/12013409/dtlphotolst/4/smp2,鎌ヶ谷市
パティスリー グランソレイユ,（Patisserie Grand Soleil）,https://tabelog.com/chiba/A1203/A120303/12004897/,火曜日(水曜日は予約受付・お渡しのみ）,初富駅,ケーキ,-,～￥999,3.35,千葉県 鎌ケ谷市南初富5-2-61 ,047-407-0008,12,233,https://tabelog.com/chiba/A1203/A120303/12004897/dtlmenu,https://tabelog.com/chiba/A1203/A120303/12004897/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1203/A120303/12004897/dtlphotolst/4/smp2,鎌ヶ谷市
Patisserie maya l'abeille,（パティスリー マヤラベイユ）,https://tabelog.com/chiba/A1202/A120204/12040140/,木曜日、第1・3水曜日、不定休(SNSにて告知),実籾駅,ケーキ 洋菓子（その他）,-,-,3.04,千葉県 習志野市実籾4-4-1 ,047-409-9955,2,40,https://tabelog.com/chiba/A1202/A120204/12040140/dtlmenu,https://tabelog.com/chiba/A1202/A120204/12040140/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1202/A120204/12040140/dtlphotolst/4/smp2,習志野市
パティスリー サツキ,（patisserie SATSUKI）,https://tabelog.com/chiba/A1201/A120102/12005210/,無休,海浜幕張駅,ケーキ パン,￥3000～￥3999,￥1000～￥1999,3.61,千葉県 千葉市美浜区ひび野2-120-3 ホテルニューオータニ幕張 1F,043-299-1639,99,3746,https://tabelog.com/chiba/A1201/A120102/12005210/dtlmenu,https://tabelog.com/chiba/A1201/A120102/12005210/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1201/A120102/12005210/dtlphotolst/4/smp2,千葉市
パティスリー 工房 ルーレ,（Patisserie Roule）,https://tabelog.com/chiba/A1201/A120101/12001210/,月曜（祝日の場合は翌日）・第１第３火曜,西千葉駅,ケーキ,-,～￥999,3.52,千葉県 千葉市中央区春日2-6-7 春日マンション　１０１,043-241-1167,63,1340,https://tabelog.com/chiba/A1201/A120101/12001210/dtlmenu,https://tabelog.com/chiba/A1201/A120101/12001210/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1201/A120101/12001210/dtlphotolst/4/smp2,千葉市
パティスリー タルブ,,https://tabelog.com/chiba/A1201/A120102/12002458/,毎週火曜日,海浜幕張駅,洋菓子（その他） スイーツ（その他）,-,～￥999,3.22,千葉県 千葉市美浜区打瀬3-6 ミラマール　１Ｆ,043-351-7551,14,307,https://tabelog.com/chiba/A1201/A120102/12002458/dtlmenu,https://tabelog.com/chiba/A1201/A120102/12002458/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1201/A120102/12002458/dtlphotolst/4/smp2,千葉市
パティスリー サチアージュ,（Sachiage）,https://tabelog.com/chiba/A1201/A120101/12033847/,不定休,栄町駅,ケーキ 洋菓子（その他） パン,-,～￥999,3.21,千葉県 千葉市中央区弁天2-23-1 弁天プラザビル 1F,043-306-4636,16,448,https://tabelog.com/chiba/A1201/A120101/12033847/dtlmenu,https://tabelog.com/chiba/A1201/A120101/12033847/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1201/A120101/12033847/dtlphotolst/4/smp2,千葉市
パティスリー・クルトワ,,https://tabelog.com/chiba/A1201/A120105/12033080/,月～金曜日,ちはら台駅,ケーキ,～￥999,～￥999,3.19,千葉県 千葉市緑区中西町602-18 ,043-310-7300,9,179,https://tabelog.com/chiba/A1201/A120105/12033080/dtlmenu,https://tabelog.com/chiba/A1201/A120105/12033080/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1201/A120105/12033080/dtlphotolst/4/smp2,千葉市
パティスリーメグン,（Patisserie Megun）,https://tabelog.com/chiba/A1201/A120105/12028016/,火曜日、不定休（SNSにて告知）,おゆみ野駅,ケーキ,-,￥4000～￥4999,3.17,千葉県 千葉市緑区おゆみ野中央3-22-2 シャリオール1F,043-308-4402,14,257,https://tabelog.com/chiba/A1201/A120105/12028016/dtlmenu,https://tabelog.com/chiba/A1201/A120105/12028016/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1201/A120105/12028016/dtlphotolst/4/smp2,千葉市
デフィ ブーランジェリー&パティスリー,（Defi）,https://tabelog.com/chiba/A1201/A120101/12050353/,水曜日,西登戸駅,パン ケーキ,-,￥1000～￥1999,3.15,千葉県 千葉市中央区松波1-16-11 伊藤ビル 1F,080-7597-0705,15,773,https://tabelog.com/chiba/A1201/A120101/12050353/dtlmenu,https://tabelog.com/chiba/A1201/A120101/12050353/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1201/A120101/12050353/dtlphotolst/4/smp2,千葉市
パティスリー アベベ,（PATISSERIE Abebe）,https://tabelog.com/chiba/A1201/A120102/12048118/,水曜日,幕張駅,ケーキ,-,～￥999,3.13,千葉県 千葉市花見川区幕張町6-78-11 ,043-307-2975,6,107,https://tabelog.com/chiba/A1201/A120102/12048118/dtlmenu,https://tabelog.com/chiba/A1201/A120102/12048118/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1201/A120102/12048118/dtlphotolst/4/smp2,千葉市
パティスリー ミュウ,（Patisserie mieux）,https://tabelog.com/chiba/A1201/A120103/12025944/,木曜,検見川浜駅,ケーキ 洋菓子（その他）,-,～￥999,3.11,千葉県 千葉市美浜区磯辺4-15-22 ,043-277-4824,8,101,https://tabelog.com/chiba/A1201/A120103/12025944/dtlmenu,https://tabelog.com/chiba/A1201/A120103/12025944/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1201/A120103/12025944/dtlphotolst/4/smp2,千葉市
パティスリー いろは,（IROHA）,https://tabelog.com/chiba/A1201/A120104/12024731/,火曜日・第１月曜日,作草部駅,ケーキ,￥1000～￥1999,～￥999,3.09,千葉県 千葉市稲毛区轟町4-1-13 華ハイツ 101号室,043-215-8335,12,119,https://tabelog.com/chiba/A1201/A120104/12024731/dtlmenu,https://tabelog.com/chiba/A1201/A120104/12024731/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1201/A120104/12024731/dtlphotolst/4/smp2,千葉市
