name,subname,url,holiday,nearest,genre,price_dinner,price_lunch,star,address,tel,reviews,bookmarks,menu_url,photo_out,photo_in
ラ・メゾン アンソレイユターブル パティスリー ペリエ千葉店,（La Maison ensoleilletable patisserie）,https://tabelog.com/chiba/A1201/A120101/12052569/,不定休,千葉駅,ケーキ 洋菓子（その他）,～￥999,～￥999,3.00,千葉県 千葉市中央区新千葉1-1-1 ペリエ千葉  エキナカ 3F,043-216-2886,6,35,https://tabelog.com/chiba/A1201/A120101/12052569/dtlmenu,https://tabelog.com/chiba/A1201/A120101/12052569/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1201/A120101/12052569/dtlphotolst/4/smp2
パティスリー ボナパルト,（Patisserie Bonaparte）,https://tabelog.com/chiba/A1201/A120101/12037462/,無休,西千葉駅,ケーキ マカロン,～￥999,～￥999,3.35,千葉県 千葉市中央区松波4-20-6 二葉ビル 1F,-,25,813,https://tabelog.com/chiba/A1201/A120101/12037462/dtlmenu,https://tabelog.com/chiba/A1201/A120101/12037462/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1201/A120101/12037462/dtlphotolst/4/smp2
パティスリーラパン,（Patisserie Lapin）,https://tabelog.com/chiba/A1202/A120201/12005695/,月、火曜日,船橋日大前駅,ケーキ チョコレート,￥1000～￥1999,～￥999,3.44,千葉県 船橋市坪井東2-14-25 ,047-462-4030,39,787,https://tabelog.com/chiba/A1202/A120201/12005695/dtlmenu,https://tabelog.com/chiba/A1202/A120201/12005695/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1202/A120201/12005695/dtlphotolst/4/smp2
Patisserie sucre sale,（パティスリー シュクレサレ）,https://tabelog.com/chiba/A1202/A120201/12020798/,水曜日,高根木戸駅,ケーキ,-,～￥999,3.42,千葉県 船橋市習志野台2-14-21 MOビル1F,047-402-1009,30,769,https://tabelog.com/chiba/A1202/A120201/12020798/dtlmenu,https://tabelog.com/chiba/A1202/A120201/12020798/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1202/A120201/12020798/dtlphotolst/4/smp2
パティスリー ボンヌ・ヴィサージュ,,https://tabelog.com/chiba/A1202/A120202/12001149/,火曜日、不定休(SNSにて告知),行徳駅,ケーキ,～￥999,～￥999,3.38,千葉県 市川市行徳駅前4-1-6 ,047-398-7765,48,1076,https://tabelog.com/chiba/A1202/A120202/12001149/dtlmenu,https://tabelog.com/chiba/A1202/A120202/12001149/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1202/A120202/12001149/dtlphotolst/4/smp2
パティスリー ル シエル 船橋本町通り店,（patisserie Le Ciel）,https://tabelog.com/chiba/A1202/A120201/12047214/,月曜日・火曜日　イベントや祝日によって変更あります。,京成船橋駅,ケーキ 洋菓子（その他）,-,～￥999,3.33,千葉県 船橋市本町2-26-22 ,047-401-3399,27,908,https://tabelog.com/chiba/A1202/A120201/12047214/dtlmenu,https://tabelog.com/chiba/A1202/A120201/12047214/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1202/A120201/12047214/dtlphotolst/4/smp2
パティスリー ボン・クラージュ,（BonCourage）,https://tabelog.com/chiba/A1202/A120202/12003933/,水曜日、不定休（SNSにて告知）,妙典駅,ケーキ パン,-,～￥999,3.32,千葉県 市川市妙典5-14-31 メゾン・ヴィクトワール1Ｆ,047-318-6300,33,653,https://tabelog.com/chiba/A1202/A120202/12003933/dtlmenu,https://tabelog.com/chiba/A1202/A120202/12003933/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1202/A120202/12003933/dtlphotolst/4/smp2
ラ・パティスリー・ツキ,（La Patisserie TSUKI）,https://tabelog.com/chiba/A1202/A120202/12041277/,火曜日,市川大野駅,ケーキ 洋菓子（その他） チョコレート,-,￥1000～￥1999,3.31,千葉県 市川市南大野2-2-34 ,047-718-0735,28,673,https://tabelog.com/chiba/A1202/A120202/12041277/dtlmenu,https://tabelog.com/chiba/A1202/A120202/12041277/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1202/A120202/12041277/dtlphotolst/4/smp2
パティスリー リコ,（Patisserie Rico）,https://tabelog.com/chiba/A1202/A120201/12037591/,木曜日 ※公式サイトに営業日カレンダーあり,船橋駅,ケーキ,-,～￥999,3.25,千葉県 船橋市本町6-12-9 ,047-407-0502,21,398,https://tabelog.com/chiba/A1202/A120201/12037591/dtlmenu,https://tabelog.com/chiba/A1202/A120201/12037591/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1202/A120201/12037591/dtlphotolst/4/smp2
パティスリー タマミィーユ 本店,,https://tabelog.com/chiba/A1202/A120204/12006683/,水曜日、第1・3木曜日、不定休(公式サイトにて告知),小室駅,ケーキ,-,～￥999,3.19,千葉県 八千代市大学町2-1-10 ,047-488-0302,12,390,https://tabelog.com/chiba/A1202/A120204/12006683/dtlmenu,https://tabelog.com/chiba/A1202/A120204/12006683/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1202/A120204/12006683/dtlphotolst/4/smp2
パティスリー カンジュ,（Patisserie kanju）,https://tabelog.com/chiba/A1202/A120201/12043651/,水曜日・第２火曜日、不定休(SNSにて告知),船橋法典駅,ケーキ,￥1000～￥1999,￥1000～￥1999,3.13,千葉県 船橋市藤原3-36-51 ,047-430-5544,9,106,https://tabelog.com/chiba/A1202/A120201/12043651/dtlmenu,https://tabelog.com/chiba/A1202/A120201/12043651/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1202/A120201/12043651/dtlphotolst/4/smp2
パティスリーポムドパン,,https://tabelog.com/chiba/A1202/A120204/12035231/,不定休,八千代台駅,洋菓子（その他）,￥1000～￥1999,￥1000～￥1999,3.12,千葉県 八千代市八千代台東1-18-6 竹内ビル1階,047-486-2226,9,130,https://tabelog.com/chiba/A1202/A120204/12035231/dtlmenu,https://tabelog.com/chiba/A1202/A120204/12035231/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1202/A120204/12035231/dtlphotolst/4/smp2
パティスリー シトロニエ,（PATISSERIE CITORONNIER）,https://tabelog.com/chiba/A1202/A120202/12042137/,毎週水曜日　　第1・2日曜日,京成八幡駅,ケーキ,-,～￥999,3.10,千葉県 市川市八幡2-8-2 中村ビル 1F,047-727-9156,9,197,https://tabelog.com/chiba/A1202/A120202/12042137/dtlmenu,https://tabelog.com/chiba/A1202/A120202/12042137/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1202/A120202/12042137/dtlphotolst/4/smp2
パティスリー ラポルテ,（Patisseie LA PORTEE）,https://tabelog.com/chiba/A1202/A120203/12043012/,木曜日,浦安駅,ケーキ,～￥999,～￥999,3.09,千葉県 浦安市北栄4-20-20 ,047-316-1275,9,195,https://tabelog.com/chiba/A1202/A120203/12043012/dtlmenu,https://tabelog.com/chiba/A1202/A120203/12043012/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1202/A120203/12043012/dtlphotolst/4/smp2
パティスリー ラ パージュ,（pâtisserie la page）,https://tabelog.com/chiba/A1202/A120202/12055132/,月曜・火曜　（祭日は営業、体制が整い次第火曜日定休のみ）,京成八幡駅,ケーキ 洋菓子（その他）,-,￥1000～￥1999,3.08,千葉県 市川市八幡3-29-16 y's premiere 1F,047-706-7657,10,335,https://tabelog.com/chiba/A1202/A120202/12055132/dtlmenu,https://tabelog.com/chiba/A1202/A120202/12055132/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1202/A120202/12055132/dtlphotolst/4/smp2
パティスリー デトゥール,,https://tabelog.com/chiba/A1202/A120201/12050792/,火曜日(火曜日、水曜日連休の場合あり),下総中山駅,ケーキ,-,￥1000～￥1999,3.08,千葉県 市川市鬼高2-9-13 テイルコート 1F,047-711-0338,6,266,https://tabelog.com/chiba/A1202/A120201/12050792/dtlmenu,https://tabelog.com/chiba/A1202/A120201/12050792/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1202/A120201/12050792/dtlphotolst/4/smp2
パティスリー ル・シエル 本八幡店,（Patisserie Le Ciel）,https://tabelog.com/chiba/A1202/A120202/12054094/,-,本八幡駅,ケーキ,-,～￥999,3.08,千葉県 市川市八幡2-4-7 ,047-318-2133,5,244,https://tabelog.com/chiba/A1202/A120202/12054094/dtlmenu,https://tabelog.com/chiba/A1202/A120202/12054094/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1202/A120202/12054094/dtlphotolst/4/smp2
パティスリー・ジュゴン,（Patisserie JUGON）,https://tabelog.com/chiba/A1202/A120201/12024960/,日曜・月曜　　（日月以外の祝日営業）,二和向台駅,ケーキ,-,￥1000～￥1999,3.06,千葉県 船橋市咲が丘2-11-3 ,047-407-2056,9,266,https://tabelog.com/chiba/A1202/A120201/12024960/dtlmenu,https://tabelog.com/chiba/A1202/A120201/12024960/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1202/A120201/12024960/dtlphotolst/4/smp2
ラ･メゾン アンソレイユターブル パティスリー シャポー市川店,（La Maison ensoleille table）,https://tabelog.com/chiba/A1202/A120202/12047339/,-,市川駅,ケーキ,￥3000～￥3999,-,3.04,千葉県 市川市市川1-1-1 シャポー市川 B1F,047-314-8898,3,32,https://tabelog.com/chiba/A1202/A120202/12047339/dtlmenu,https://tabelog.com/chiba/A1202/A120202/12047339/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1202/A120202/12047339/dtlphotolst/4/smp2
ラ・メゾン アンソレイユターブル パティスリー シャポー船橋店,,https://tabelog.com/chiba/A1202/A120201/12043586/,-,船橋駅,洋菓子（その他）,￥1000～￥1999,～￥999,3.03,千葉県 船橋市本町7-1-1 シャポー船橋店 1F,047-409-3838,12,113,https://tabelog.com/chiba/A1202/A120201/12043586/dtlmenu,https://tabelog.com/chiba/A1202/A120201/12043586/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1202/A120201/12043586/dtlphotolst/4/smp2
パティスリー 銀座千疋屋×花園万頭,,https://tabelog.com/chiba/A1202/A120201/12055206/,-,船橋駅,和菓子 洋菓子（その他）,-,-,-,千葉県 船橋市本町7-1-1 シャポー船橋  1F,047-411-6400,-,7,https://tabelog.com/chiba/A1202/A120201/12055206/dtlmenu,https://tabelog.com/chiba/A1202/A120201/12055206/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1202/A120201/12055206/dtlphotolst/4/smp2
パティスリー シャルメ,,https://tabelog.com/chiba/A1202/A120201/12055139/,不定休,習志野駅,ケーキ パン,-,-,-,千葉県 船橋市習志野台5-23-23 ,047-490-2424,-,37,https://tabelog.com/chiba/A1202/A120201/12055139/dtlmenu,https://tabelog.com/chiba/A1202/A120201/12055139/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1202/A120201/12055139/dtlphotolst/4/smp2
Patisserie ＆Restaurant Amour 原木中山店,（パティスリー＆レストラン アムール）,https://tabelog.com/chiba/A1202/A120202/12028740/,月曜日 (祝日の場合は営業し翌日休み),原木中山駅,イタリアン ステーキ ケーキ,￥3000～￥3999,￥1000～￥1999,3.42,千葉県 市川市田尻3-11-15 ,050-5595-9154,59,2808,https://tabelog.com/chiba/A1202/A120202/12028740/dtlmenu,https://tabelog.com/chiba/A1202/A120202/12028740/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1202/A120202/12028740/dtlphotolst/4/smp2
Patisserie Enfants,（パティスリー アンファン）,https://tabelog.com/chiba/A1202/A120202/12004418/,火・第３水,行徳駅,ケーキ,-,～￥999,3.22,千葉県 市川市行徳駅前1-7-2 ,047-395-9583,18,298,https://tabelog.com/chiba/A1202/A120202/12004418/dtlmenu,https://tabelog.com/chiba/A1202/A120202/12004418/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1202/A120202/12004418/dtlphotolst/4/smp2
Patisserie T.sweets,（パティスリー・ティー・スイーツ）,https://tabelog.com/chiba/A1202/A120202/12024074/,火曜日(祝日を除く),妙典駅,ケーキ,-,～￥999,3.17,千葉県 市川市妙典2-16-18 マザーユニックス102,047-702-8951,18,276,https://tabelog.com/chiba/A1202/A120202/12024074/dtlmenu,https://tabelog.com/chiba/A1202/A120202/12024074/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1202/A120202/12024074/dtlphotolst/4/smp2
Patisserie maya l'abeille,（パティスリー マヤラベイユ）,https://tabelog.com/chiba/A1202/A120204/12040140/,木曜日、第1・3水曜日、不定休(SNSにて告知),実籾駅,ケーキ 洋菓子（その他）,-,-,3.04,千葉県 習志野市実籾4-4-1 ,047-409-9955,2,40,https://tabelog.com/chiba/A1202/A120204/12040140/dtlmenu,https://tabelog.com/chiba/A1202/A120204/12040140/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1202/A120204/12040140/dtlphotolst/4/smp2
Patisserie Un樹,（アンジュ）,https://tabelog.com/chiba/A1202/A120203/12021535/,無休,浦安駅,ケーキ 洋菓子（その他）,～￥999,～￥999,3.35,千葉県 浦安市北栄1-3-27 ,047-351-4211,57,1352,https://tabelog.com/chiba/A1202/A120203/12021535/dtlmenu,https://tabelog.com/chiba/A1202/A120203/12021535/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1202/A120203/12021535/dtlphotolst/4/smp2
patisserie la page,（パティスリー ラ パージュ）,https://tabelog.com/chiba/A1202/A120201/12021060/,火曜,習志野駅,ケーキ スイーツ（その他）,￥1000～￥1999,～￥999,3.59,千葉県 船橋市習志野台5-23-23 ,-,84,3585,https://tabelog.com/chiba/A1202/A120201/12021060/dtlmenu,https://tabelog.com/chiba/A1202/A120201/12021060/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1202/A120201/12021060/dtlphotolst/4/smp2
パティスリー イルコンフィ,（patisserie ile confi  ）,https://tabelog.com/chiba/A1202/A120201/12027040/,月曜日,高根公団駅,ケーキ かき氷,￥1000～￥1999,￥1000～￥1999,3.46,千葉県 船橋市高根台1-2-1 エポカ高根台1F,-,21,618,https://tabelog.com/chiba/A1202/A120201/12027040/dtlmenu,https://tabelog.com/chiba/A1202/A120201/12027040/dtlphotolst/3/smp2,https://tabelog.com/chiba/A1202/A120201/12027040/dtlphotolst/4/smp2
